product_id,title,brand,category,product_url,image_url,price_clean,original_price_clean,sale_price_clean,discount_clean,is_discounted,price_tier,savings,savings_percentage,discount_level,product_type,primary_color,material_type,fit_type,size_variant,style_type,title_length,has_image,availability
relaxed-fit-chino-pants-ce2511,Relaxed Fit Chino Pants,Cougar,men,https://www.cougar.com.pk/products/relaxed-fit-chino-pants-ce2511,https://www.cougar.com.pk/cdn/shop/files/1_d085028c-7fcc-4492-a29e-9566a32a5a0a.webp?v=1756489855&width=533,2999.0,5999.0,2999.0,0.5,True,Mid-Range (2.5k-3.5k),3000.0,50.00833472245374,50% Off,Pants,Multi-color,Chino,Relaxed,Not Specified,Basic,23,True,In Stock
slim-fit-chino-pants-ce2512,Slim Fit Chino Pants,Cougar,men,https://www.cougar.com.pk/products/slim-fit-chino-pants-ce2512,https://www.cougar.com.pk/cdn/shop/files/2_6d2f134b-8b5a-481e-9b6a-8bb077e3d175.webp?v=1756489853&width=533,2999.0,5999.0,2999.0,0.5,True,Mid-Range (2.5k-3.5k),3000.0,50.00833472245374,50% Off,Pants,Multi-color,Chino,Slim,Not Specified,Basic,20,True,In Stock
relaxed-fit-chino-pants-ce2513,Relaxed Fit Chino Pants,Cougar,men,https://www.cougar.com.pk/products/relaxed-fit-chino-pants-ce2513,https://www.cougar.com.pk/cdn/shop/files/2_aecd4276-b8d5-4b97-a509-2f12afb318d9.webp?v=1756489850&width=533,2999.0,5999.0,2999.0,0.5,True,Mid-Range (2.5k-3.5k),3000.0,50.00833472245374,50% Off,Pants,Multi-color,Chino,Relaxed,Not Specified,Basic,23,True,In Stock
straight-fit-chino-pants-ce2514,Straight Fit Chino Pants,Cougar,men,https://www.cougar.com.pk/products/straight-fit-chino-pants-ce2514,https://www.cougar.com.pk/cdn/shop/files/2_bb129bad-0bd5-47ca-a1de-dbbda646180e.webp?v=1756489848&width=533,2999.0,5999.0,2999.0,0.5,True,Mid-Range (2.5k-3.5k),3000.0,50.00833472245374,50% Off,Pants,Multi-color,Chino,Straight,Not Specified,Basic,24,True,In Stock
slim-fit-chino-pants-ce2515,Slim Fit Chino Pants,Cougar,men,https://www.cougar.com.pk/products/slim-fit-chino-pants-ce2515,https://www.cougar.com.pk/cdn/shop/files/2_c561373f-046c-47be-8536-bf1054efd975.webp?v=1756489845&width=533,2999.0,5999.0,2999.0,0.5,True,Mid-Range (2.5k-3.5k),3000.0,50.00833472245374,50% Off,Pants,Multi-color,Chino,Slim,Not Specified,Basic,20,True,In Stock
relaxed-fit-jeans-de2514,Relaxed Fit Jeans,Cougar,men,https://www.cougar.com.pk/products/relaxed-fit-jeans-de2514,https://www.cougar.com.pk/cdn/shop/files/2_87801dbb-f0b8-4f6d-a2b3-e923c84ecab2.webp?v=1756489843&width=533,2999.0,5999.0,2999.0,0.5,True,Mid-Range (2.5k-3.5k),3000.0,50.00833472245374,50% Off,Jeans,Multi-color,Mixed,Relaxed,Not Specified,Basic,17,True,In Stock
skater-fit-jeans-de2516,Skater Fit Jeans,Cougar,men,https://www.cougar.com.pk/products/skater-fit-jeans-de2516,https://www.cougar.com.pk/cdn/shop/files/5_a86a7596-6bac-4dfc-ab5f-63c6e16540cb.webp?v=1756489839&width=533,2999.0,5999.0,2999.0,0.5,True,Mid-Range (2.5k-3.5k),3000.0,50.00833472245374,50% Off,Jeans,Multi-color,Mixed,Skater,Not Specified,Basic,16,True,In Stock
straight-fit-cargo-jeans-de2517,Straight Fit Cargo Jeans,Cougar,men,https://www.cougar.com.pk/products/straight-fit-cargo-jeans-de2517,https://www.cougar.com.pk/cdn/shop/files/2_4b4d1d0a-2cb1-4f5c-9cda-e19dc4aadce9.webp?v=1756489837&width=533,2999.0,5999.0,2999.0,0.5,True,Mid-Range (2.5k-3.5k),3000.0,50.00833472245374,50% Off,Jeans,Multi-color,Mixed,Straight,Not Specified,Cargo,24,True,In Stock
skinny-fit-jeans-de2519,Skinny Fit Jeans,Cougar,men,https://www.cougar.com.pk/products/skinny-fit-jeans-de2519,https://www.cougar.com.pk/cdn/shop/files/2_e11c1cd5-0dab-4e6e-b80b-3e214ff63331.webp?v=1756489833&width=533,2999.0,5999.0,2999.0,0.5,True,Mid-Range (2.5k-3.5k),3000.0,50.00833472245374,50% Off,Jeans,Multi-color,Mixed,Skinny,Not Specified,Basic,16,True,In Stock
slim-fit-5-pocket-pants-fe2502,Slim Fit 5 Pocket Pants,Cougar,men,https://www.cougar.com.pk/products/slim-fit-5-pocket-pants-fe2502,https://www.cougar.com.pk/cdn/shop/files/4_4d730493-578c-4d44-b66e-fa64ee23d45d.webp?v=1756489823&width=533,2749.0,5499.0,2749.0,0.5,True,Mid-Range (2.5k-3.5k),2750.0,50.00909256228405,50% Off,Pants,Multi-color,Mixed,Slim,Not Specified,5 Pocket,23,True,In Stock
slim-fit-5-pocket-pants-fe2503,Slim Fit 5 Pocket Pants,Cougar,men,https://www.cougar.com.pk/products/slim-fit-5-pocket-pants-fe2503,https://www.cougar.com.pk/cdn/shop/files/3_82bc2fda-049a-4149-9d05-455b956c52cc.webp?v=1756489821&width=533,2749.0,5499.0,2749.0,0.5,True,Mid-Range (2.5k-3.5k),2750.0,50.00909256228405,50% Off,Pants,Multi-color,Mixed,Slim,Not Specified,5 Pocket,23,True,In Stock
slim-fit-5-pocket-pants-fe2504,Slim Fit 5 Pocket Pants,Cougar,men,https://www.cougar.com.pk/products/slim-fit-5-pocket-pants-fe2504,https://www.cougar.com.pk/cdn/shop/files/1_f2cdbbcb-39f3-463f-b928-9bd059f0781f.webp?v=1756489819&width=533,2749.0,5499.0,2749.0,0.5,True,Mid-Range (2.5k-3.5k),2750.0,50.00909256228405,50% Off,Pants,Multi-color,Mixed,Slim,Not Specified,5 Pocket,23,True,In Stock
slim-fit-5-pocket-pants-fe2505,Slim Fit 5 Pocket Pants,Cougar,men,https://www.cougar.com.pk/products/slim-fit-5-pocket-pants-fe2505,https://www.cougar.com.pk/cdn/shop/files/1_cc4b7837-43b6-422c-9562-505974fcf7d6.webp?v=1756489817&width=533,2749.0,5499.0,2749.0,0.5,True,Mid-Range (2.5k-3.5k),2750.0,50.00909256228405,50% Off,Pants,Multi-color,Mixed,Slim,Not Specified,5 Pocket,23,True,In Stock
henley-t-shirt-he2504,Henley T-Shirt,Cougar,men,https://www.cougar.com.pk/products/henley-t-shirt-he2504,https://www.cougar.com.pk/cdn/shop/files/1_e636b53f-ee7f-46eb-8a00-60d6286d9bcd.webp?v=1756489764&width=533,1249.0,2499.0,1249.0,0.5,True,Budget (<1.5k),1250.0,50.020008003201276,50% Off,Shirts,Multi-color,Mixed,Regular,Not Specified,Henley,14,True,In Stock
henley-t-shirt-he2505,Henley T-Shirt,Cougar,men,https://www.cougar.com.pk/products/henley-t-shirt-he2505,https://www.cougar.com.pk/cdn/shop/files/5_08d6383b-d3a1-49bb-9184-39a6835b06f2.webp?v=1756489761&width=533,1249.0,2499.0,1249.0,0.5,True,Budget (<1.5k),1250.0,50.020008003201276,50% Off,Shirts,Multi-color,Mixed,Regular,Not Specified,Henley,14,True,In Stock
