category,title,price,original_price,sale_price,discount,variant,product_url,image_url,brand
men,Men Socks,PKR 399,PKR 499,PKR 399,"20%
OFF",White,https://engine.com.pk/products/msk028-wht,https://engine.com.pk/cdn/shop/files/MSK028-WHT_1.jpg?v=1758696876,Engine
men,Men Socks,PKR 399,PKR 499,PKR 399,"20%
OFF",Grey,https://engine.com.pk/products/msk030-gry,https://engine.com.pk/cdn/shop/files/MSK030-GRY_1.jpg?v=1758696977,Engine
men,Men Socks,PKR 719,PKR 899,PKR 719,"20%
OFF",Wht&Blk&Gry / Free Size,https://engine.com.pk/products/msk048-wbg,https://engine.com.pk/cdn/shop/files/MSK048-WBG_1.jpg?v=1746764767,Engine
men,Men Socks,PKR 799,PKR 999,PKR 799,"20%
OFF",Nvy&Blk&Chr / Free Size,https://engine.com.pk/products/msk045-nbc,https://engine.com.pk/cdn/shop/files/MSK045-NBC_1.jpg?v=1746764570,Engine
men,Men Ankle Socks,PKR 799,PKR 999,PKR 799,"20%
OFF",Mix,https://engine.com.pk/products/msk031-mix,https://engine.com.pk/cdn/shop/files/MSK031-MIX_1.jpg?v=1758697001,Engine
men,Men Ankle Socks,PKR 959,"PKR 1,199",PKR 959,"20%
OFF",Mix,https://engine.com.pk/products/msk036-mix,https://engine.com.pk/cdn/shop/files/MSK036-MIX_3.jpg?v=1758697141,Engine
men,Men Ankle Socks,PKR 959,"PKR 1,199",PKR 959,"20%
OFF",Mix,https://engine.com.pk/products/msk034-mix,https://engine.com.pk/cdn/shop/files/MSK034-MIX_1.jpg?v=1758697047,Engine
men,Men T Shirt,"PKR 1,609","PKR 2,299","PKR 1,609","30%
OFF",Off White / S,https://engine.com.pk/products/mt5180-owt,https://engine.com.pk/cdn/shop/files/MT5180-OWT_4.jpg?v=1759299204,Engine
men,Men T Shirt,"PKR 1,749","PKR 2,499","PKR 1,749","30%
OFF",Grey / S,https://engine.com.pk/products/mt5166-gry,https://engine.com.pk/cdn/shop/files/MT5166-GRY_1.jpg?v=1756878866,Engine
men,Men T Shirt,"PKR 1,749","PKR 2,499","PKR 1,749","30%
OFF",Black / S,https://engine.com.pk/products/mt5176-blk,https://engine.com.pk/cdn/shop/files/MT5176-BLK_1_8d3e39c3-16af-4dac-8045-a52b3b79ab8a.jpg?v=1757266301,Engine
men,Men T Shirt,"PKR 1,749","PKR 2,499","PKR 1,749","30%
OFF",Navy / S,https://engine.com.pk/products/mt5176-nvy,https://engine.com.pk/cdn/shop/files/Untitled-2.jpg?v=1758187797,Engine
men,Men T Shirt,"PKR 1,749","PKR 2,499","PKR 1,749","30%
OFF",Off White / S,https://engine.com.pk/products/mt5176-owt,https://engine.com.pk/cdn/shop/files/114.jpg?v=1758107115,Engine
men,Men T Shirt,"PKR 1,749","PKR 2,499","PKR 1,749","30%
OFF",Brown / L,https://engine.com.pk/products/mt5179-brn,https://engine.com.pk/cdn/shop/files/MT5179-BRN_1_aa461acd-7c41-4d58-ad3d-83e924772d2f.jpg?v=1757265701,Engine
men,Men T Shirt,"PKR 1,749","PKR 2,499","PKR 1,749","30%
OFF",Mud / S,https://engine.com.pk/products/mt5166-mud,https://engine.com.pk/cdn/shop/files/45_1.jpg?v=1758106320,Engine
men,Men T Shirt,"PKR 1,749","PKR 2,499","PKR 1,749","30%
OFF",Dark Green / S,https://engine.com.pk/products/mt5179-dgr,https://engine.com.pk/cdn/shop/files/MT5179-DGR_1.jpg?v=1757663857,Engine
men,Men T Shirt,"PKR 1,749","PKR 2,499","PKR 1,749","30%
OFF",Brown / S,https://engine.com.pk/products/mt5188-brn,https://engine.com.pk/cdn/shop/files/MT5188-BRN_5.jpg?v=1759294103,Engine
men,Men T Shirt,"PKR 1,749","PKR 2,499","PKR 1,749","30%
OFF",Maroon / L,https://engine.com.pk/products/mt5188-mrn,https://engine.com.pk/cdn/shop/files/MT5188-MRN_5.jpg?v=1759294161,Engine
men,Men T Shirt,"PKR 1,749","PKR 2,499","PKR 1,749","30%
OFF",Aqua / L,https://engine.com.pk/products/mt5020-aqu,https://engine.com.pk/cdn/shop/files/MT5020-AQA_2.jpg?v=1744702057,Engine
men,Men T Shirt,"PKR 1,959","PKR 2,799","PKR 1,959","30%
OFF",Black / S,https://engine.com.pk/products/mt5177-blk,https://engine.com.pk/cdn/shop/files/MT5177-BLK_4.jpg?v=1756874797,Engine
men,Men T Shirt,"PKR 1,959","PKR 2,799","PKR 1,959","30%
OFF",Green / S,https://engine.com.pk/products/mt5177-grn,https://engine.com.pk/cdn/shop/files/61.jpg?v=1758106434,Engine
men,Men T Shirt,"PKR 1,959","PKR 2,799","PKR 1,959","30%
OFF",Rust / S,https://engine.com.pk/products/mt5177-rst,https://engine.com.pk/cdn/shop/files/92.jpg?v=1758106149,Engine
men,Men T Shirt,"PKR 1,959","PKR 2,799","PKR 1,959","30%
OFF",Off White / M,https://engine.com.pk/products/mt5177-owt,https://engine.com.pk/cdn/shop/files/MT5177-OWT_3.jpg?v=1757663715,Engine
