category,title,price,original_price,sale_price,discount,variant,product_url,image_url,brand
men,Red Gold Latha Unstitched Fabric Cotton-LF,"fromRs.3,488","Rs.6,975","fromRs.3,488",-50%,"Off White, Black, White",https://www.gulahmedshop.com/products/red-gold-latha-unstitched-fabric-cotton-lf,https://www.gulahmedshop.com/cdn/shop/files/red-gold-latha-ns-unstitched-fabric-cotton-black-fullshot-side2_165x.jpg?v=1758382708,GulAhmed
men,White Basic Pajama PJ-BLD23-002,"Rs.1,226","Rs.2,042","Rs.1,226",-40%,"Small, Medium, Large",https://www.gulahmedshop.com/products/white-basic-pajama-pj-bld23-002,https://www.gulahmedshop.com/cdn/shop/files/white_basic_pajama_pj-bld23-002_3__1_165x.jpg?v=1758382827,GulAhmed
men,Summer Cool Unstitched Fabric Cotton with Gift Box,"fromRs.2,640","Rs.5,278","fromRs.2,640",-40%,"Black, White, Dark Grey",https://www.gulahmedshop.com/products/summer-cool-unstitched-fabric-cotton-with-gift-box,https://www.gulahmedshop.com/cdn/shop/files/314615_1_165x.jpg?v=1758382195,GulAhmed
men,Chairman Latha Unstitched Fabric Cotton-LF,"Rs.5,600",,"Rs.5,600",0,Default Title,https://www.gulahmedshop.com/products/chairman-latha-unstitched-fabric-cotton-lf,https://www.gulahmedshop.com/cdn/shop/files/chairman_latha_unstitched_fabric_cotton-lf_5_165x.jpg?v=1758383869,GulAhmed
men,Mustard Unstitched Fabric Gift Box,Rs0.55,,Rs0.55,0,Default Title,https://www.gulahmedshop.com/products/mustard-unstitched-fabric-gift-box,N/A,GulAhmed
men,Luquia Unstitched Fabric Blended with Gift Box,"fromRs.4,494","Rs.7,490","fromRs.4,494",-40%,"Black, White, Royal Blue",https://www.gulahmedshop.com/products/luquia-unstitched-fabric-blended-with-gift-box,N/A,GulAhmed
men,Gul Makhmal Unstitched Fabric Blended-LF,"Rs.3,942","Rs.6,570","Rs.3,942",-40%,"Navy, Grey Green, Off White",https://www.gulahmedshop.com/products/gul-makhmal-unstitched-fabric-blended-lf,N/A,GulAhmed
men,Leader Latha Unstitched Fabric Cotton-LF,"fromRs.3,850","Rs.7,700","fromRs.3,850",-50%,"Onyx Black, Deep Cobalt, Off White",https://www.gulahmedshop.com/products/leader-latha-unstitched-fabric-cotton-lf,N/A,GulAhmed
men,Gul 900 Crescent Unstitched Fabric Blended-LF,"Rs.3,645","Rs.6,075","Rs.3,645",-40%,"Off White, Black, White",https://www.gulahmedshop.com/products/gul-900-crescent-unstitched-fabric-blended-lf,N/A,GulAhmed
men,Sky Blue Esso Latha Unstitched Fabric,"Rs.3,850","Rs.7,700","Rs.3,850",-50%,Default Title,https://www.gulahmedshop.com/products/sky-blue-esso-latha-unstitched-fabric,N/A,GulAhmed
men,Bemisaal Flair Unstitched Fabric Blended-LF,"Rs.3,096","Rs.5,158","Rs.3,096",-40%,"Off White, Black, White",https://www.gulahmedshop.com/products/bemisaal-flair-unstitched-fabric-blended-lf,N/A,GulAhmed
men,Gul 900 Castor Unstitched Fabric Blended-LF,"Rs.4,190","Rs.5,985","Rs.4,190",-30%,"Kai Green, Ash Grey, Green",https://www.gulahmedshop.com/products/gul-900-castor-unstitched-fabric-blended-lf,N/A,GulAhmed
men,Regular Fit Embroidered Suits SK-BSC25-040,"Rs.5,593","Rs.7,990","Rs.5,593",-30%,"Small, Medium, Large",https://www.gulahmedshop.com/products/regular-fit-embroidered-suits-sk-bsc25-040,N/A,GulAhmed
men,Mirus Unstitched Fabric Blended-LF,"Rs.2,898","Rs.4,136","Rs.2,898",-30%,"Off White, Black, White",https://www.gulahmedshop.com/products/mirus-unstitched-fabric-blended-lf,N/A,GulAhmed
men,Vision Opera Unstitched Fabric Blended-LF,"Rs.3,411","Rs.5,679","Rs.3,411",-40%,"Brown, Green, Purple",https://www.gulahmedshop.com/products/vision-opera-unstitched-fabric-blended-lf,N/A,GulAhmed
men,Radiant Unstitched Fabric Blended with Gift Box,"Rs.6,318","Rs.10,530","Rs.6,318",-40%,"Ash Grey, Grey, Sea Green",https://www.gulahmedshop.com/products/radiant-unstitched-fabric-blended-with-gift-box,N/A,GulAhmed
men,White Basic Smart Casual SC-YD22-007,"Rs.1,000","Rs.3,682","Rs.1,000",-73%,"Small, Medium, Large",https://www.gulahmedshop.com/products/white-basic-smart-casual-sc-yd22-007,https://www.gulahmedshop.com/cdn/shop/files/white_basic_smart_casual_sc-yd22-007_1_165x.jpg?v=1758382405,GulAhmed
men,Navy Basic Non Denim Jeans TR-NDJ22-012,Rs0.99,"Rs.3,998",Rs0.99,-75%,"30X32, 32X32, 34X32",https://www.gulahmedshop.com/products/navy-basic-non-denim-jeans-tr-ndj22-012,https://www.gulahmedshop.com/cdn/shop/files/navy_basic_non_denim_jeans_tr-ndj22-012_7_165x.jpg?v=1758382521,GulAhmed
men,Mega Super Unstitched Fabric Blended-LF,"Rs.3,780","Rs.6,300","Rs.3,780",-40%,"Off White, Black, White",https://www.gulahmedshop.com/products/mega-super-unstitched-fabric-blended-lf,https://www.gulahmedshop.com/cdn/shop/files/273265_6_165x.jpg?v=1758382999,GulAhmed
men,Gul 900 Snow Drop Unstitched Fabric Blended-LF,"Rs.3,798","Rs.6,326","Rs.3,798",-40%,"Off White, White, Light Grey",https://www.gulahmedshop.com/products/gul-900-snow-drop-unstitched-fabric-blended-lf,https://www.gulahmedshop.com/cdn/shop/files/388123-abc_1_165x.jpg?v=1758383210,GulAhmed
men,Basic Shalwar SH-BLD24-001,"Rs.1,074","Rs.1,790","Rs.1,074",-40%,"Small, Medium, Large",https://www.gulahmedshop.com/products/basic-shalwar-sh-bld24-001,https://www.gulahmedshop.com/cdn/shop/files/men-ethnic-shalwar-color-white-blended--regular-fit-sh-bld24-001-half-front_165x.jpg?v=1758383429,GulAhmed
men,White Basic Shalwar SH-CTN24-001,"Rs.1,229","Rs.2,047","Rs.1,229",-40%,"Small, Medium, Large",https://www.gulahmedshop.com/products/white-basic-shalwar-sh-ctn24-001,https://www.gulahmedshop.com/cdn/shop/files/white_basic_shalwar_sh-ctn24-001_1__1_165x.jpg?v=1758383198,GulAhmed
men,Britanio Unstitched Fabric Cotton-LF,"fromRs.3,002","Rs.6,669","fromRs.3,002",-50%,"Off White, Black, White",https://www.gulahmedshop.com/products/britanio-unstitched-fabric-cotton-lf,N/A,GulAhmed
men,Classic Latha Unstitched Fabric Cotton-LF,"fromRs.4,340","Rs.8,680","fromRs.4,340",-50%,"Bracken, Off White, Black",https://www.gulahmedshop.com/products/classic-latha-unstitched-fabric-cotton-lf,N/A,GulAhmed
men,Adore Unstitched Fabric Blended-LF,"fromRs.2,795","Rs.3,992","fromRs.2,795",-30%,"Off White, Black, White",https://www.gulahmedshop.com/products/adore-unstitched-fabric-blended-lf,N/A,GulAhmed
men,Gul 900 Tornado Unstitched Fabric Blended with Gift Box,"Rs.5,142","Rs.8,570","Rs.5,142",-40%,"Purple, Dark Brown, Maroon",https://www.gulahmedshop.com/products/gul-900-tornado-unstitched-fabric-blended-with-gift-box,N/A,GulAhmed
men,Pure Boski Original Unstitched Fabric Silk with Gift Box,"Rs.25,991","Rs.43,317","Rs.25,991",-40%,Cream,https://www.gulahmedshop.com/products/pure-boski-original-unstitched-fabric-silk-with-gift-box,N/A,GulAhmed
men,Sea Blue Unstitched Fabric Shirt Denim Club-F,"Rs.1,206","Rs.2,676","Rs.1,206",-55%,Default Title,https://www.gulahmedshop.com/products/sea-blue-unstitched-fabric-shirt-denim-club-f,N/A,GulAhmed
men,Black Gold Latha Unstitched Fabric Cotton,"fromRs.4,288","Rs.8,575","fromRs.4,288",-50%,"Black, Dark Grey, Ink Blue",https://www.gulahmedshop.com/products/black-gold-latha-unstitched-fabric-cotton,N/A,GulAhmed
men,Vision Figo Unstitched Fabric Blended,"Rs.5,915","Rs.8,450","Rs.5,915",-30%,"Cream, Light Grey, Silver Grey",https://www.gulahmedshop.com/products/vision-figo-unstitched-fabric-blended,N/A,GulAhmed
men,Black Gold Latha Unstitched Fabric Cotton-LF,"fromRs.4,116","Rs.8,225","fromRs.4,116",-50%,"Deep Cobalt, Bracken, Black",https://www.gulahmedshop.com/products/black-gold-latha-unstitched-fabric-cotton-lf,https://www.gulahmedshop.com/cdn/shop/files/380321_1_165x.jpg?v=1758383063,GulAhmed
men,Sky Blue Unstitched Fabric LEADER LATHA,"Rs.3,850","Rs.7,700","Rs.3,850",-50%,Default Title,https://www.gulahmedshop.com/products/sky-blue-unstitched-fabric-leader-latha,https://www.gulahmedshop.com/cdn/shop/files/m2a4610_2_165x.jpg?v=1758383673,GulAhmed
men,Regular Fit Basic Suits SK-FRIBC25-004,"Rs.4,290",,"Rs.4,290",0,"Small, Medium, Large",https://www.gulahmedshop.com/products/regular-fit-basic-suits-sk-fribc25-004,https://www.gulahmedshop.com/cdn/shop/files/men-suits-color-grey-blended-regular-fit-sk-fribc25-004-front_165x.jpg?v=1758383528,GulAhmed
men,Gul Capri Latha Unstitched Fabric Cotton-LF,"fromRs.3,927","Rs.7,850","fromRs.3,927",-50%,"Navy, Deep Cobalt, Bracken",https://www.gulahmedshop.com/products/gul-capri-latha-unstitched-fabric-cotton-lf,https://www.gulahmedshop.com/cdn/shop/files/302464_1__1_165x.jpg?v=1758382340,GulAhmed
men,GUL 90000 Ultra Soft Unstitched Fabric Cotton-LF,"fromRs.3,240","Rs.7,200","fromRs.3,240",-40%,"Off White, Black, White",https://www.gulahmedshop.com/products/gul-90000-ultra-soft-unstitched-fabric-cotton-lf,https://www.gulahmedshop.com/cdn/shop/files/314593_2_165x.jpg?v=1758382306,GulAhmed
men,Opus Charisma Unstitched Fabric Blended with Gift Box,"Rs.6,944","Rs.9,920","Rs.6,944",-30%,"Dark Purple, Purple, Dark Green",https://www.gulahmedshop.com/products/opus-charisma-unstitched-fabric-blended-with-gift-box,https://www.gulahmedshop.com/cdn/shop/files/opus_charisma_unstitched_fabric_blended_with_gift_box-purple_4_165x.jpg?v=1758383336,GulAhmed
