product_id,title,brand,category,product_url,image_url,price_clean,original_price_clean,sale_price_clean,discount_clean,is_discounted,price_tier,savings,savings_percentage,discount_level,product_type,primary_color,material_type,fit_type,size_variant,style_type,title_length,has_image,availability
f1541-106,Slogan Print T-Shirt,Outfitters,men,https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1541-106?variant=44496242180287,https://outfitters.com.pk/cdn/shop/files/F1541106413_6.jpg,2490.0,2490.0,2490.0,0.0,False,Economy (2k-3k),0.0,0.0,No Discount,T-Shirts,Multi/Unknown,Printed Cotton,Regular,"S, M, L, Xl",Slogan Print,20,True,In Stock
f1494-106,Slogan Print T-Shirt,Outfitters,men,https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1494-106?variant=44576974405823,https://outfitters.com.pk/cdn/shop/files/F1494106805_4.jpg,3290.0,3290.0,3290.0,0.0,False,Mid-Range (3k-4k),0.0,0.0,No Discount,T-Shirts,Multi/Unknown,Printed Cotton,Regular,"S, M, L, Xl",Slogan Print,20,True,In Stock
f1494-106,Slogan Print T-Shirt,Outfitters,men,https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1494-106?variant=44576974536895,https://outfitters.com.pk/cdn/shop/files/F1494106901_3.jpg,3290.0,3290.0,3290.0,0.0,False,Mid-Range (3k-4k),0.0,0.0,No Discount,T-Shirts,Multi/Unknown,Printed Cotton,Regular,"S, M, L, Xl",Slogan Print,20,True,In Stock
f1544-106,Graphic T-Shirt,Outfitters,men,https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1544-106?variant=44525736427711,https://outfitters.com.pk/cdn/shop/files/F1544106605_3.jpg,3290.0,3290.0,3290.0,0.0,False,Mid-Range (3k-4k),0.0,0.0,No Discount,T-Shirts,Multi/Unknown,Printed Cotton,Regular,"S, M, L, Xl",Graphic Print,15,True,In Stock
f1550-106,Basic Crew Neck T-Shirt,Outfitters,men,https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1550-106?variant=44576974667967,https://outfitters.com.pk/cdn/shop/files/F1550106619_4.jpg,3290.0,3290.0,3290.0,0.0,False,Mid-Range (3k-4k),0.0,0.0,No Discount,T-Shirts,Multi/Unknown,Basic Cotton,Regular,"S, M, L, Xl",Crew Neck,23,True,In Stock
f1550-106,Basic Crew Neck T-Shirt,Outfitters,men,https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1550-106?variant=44576974799039,https://outfitters.com.pk/cdn/shop/files/F1550106903_3.jpg,3290.0,3290.0,3290.0,0.0,False,Mid-Range (3k-4k),0.0,0.0,No Discount,T-Shirts,Multi/Unknown,Basic Cotton,Regular,"S, M, L, Xl",Crew Neck,23,True,In Stock
f1585-106,Varsity Mesh T Shirt,Outfitters,men,https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1585-106?variant=44525736657087,https://outfitters.com.pk/cdn/shop/files/F1585106901_3.jpg,3290.0,3290.0,3290.0,0.0,False,Mid-Range (3k-4k),0.0,0.0,No Discount,Shirts,Multi/Unknown,Mesh,Varsity,"S-M, L-Xl",Varsity,20,True,In Stock
f1536-106,Slogan Print T-Shirt,Outfitters,men,https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1536-106?variant=44496239952063,https://outfitters.com.pk/cdn/shop/files/F1536106001_4.jpg,2890.0,2890.0,2890.0,0.0,False,Economy (2k-3k),0.0,0.0,No Discount,T-Shirts,Multi/Unknown,Printed Cotton,Regular,"S, M, L, Xl",Slogan Print,20,True,In Stock
f1587-106,Cropped Slogan Mesh T-Shirt,Outfitters,men,https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1587-106?variant=44525736820927,https://outfitters.com.pk/cdn/shop/files/F1587106001_4.jpg,3690.0,3690.0,3690.0,0.0,False,Mid-Range (3k-4k),0.0,0.0,No Discount,T-Shirts,Multi/Unknown,Mesh,Cropped,"S, M, L, Xl",Slogan Print,27,True,In Stock
f1570-106,Slogan Print T-Shirt,Outfitters,men,https://outfitters.com.pk/collections/men-new-arrivals-view-all/products/f1570-106?variant=44546374467775,https://outfitters.com.pk/cdn/shop/files/F1570106618.jpg,2890.0,2890.0,2890.0,0.0,False,Economy (2k-3k),0.0,0.0,No Discount,T-Shirts,Multi/Unknown,Printed Cotton,Regular,"S, M, L, Xl",Slogan Print,20,True,In Stock
