category,title,price,original_price,sale_price,discount,variant,product_url,image_url,brand
men,Relaxed Fit Chino Pants,"Rs.2,999","Rs.5,999","Rs.2,999",-50%,,https://www.cougar.com.pk/products/relaxed-fit-chino-pants-ce2511,https://www.cougar.com.pk/cdn/shop/files/1_d085028c-7fcc-4492-a29e-9566a32a5a0a.webp?v=1756489855&width=533,Cougar
men,Slim Fit Chino Pants,"Rs.2,999","Rs.5,999","Rs.2,999",-50%,,https://www.cougar.com.pk/products/slim-fit-chino-pants-ce2512,https://www.cougar.com.pk/cdn/shop/files/2_6d2f134b-8b5a-481e-9b6a-8bb077e3d175.webp?v=1756489853&width=533,Cougar
men,Relaxed Fit Chino Pants,"Rs.2,999","Rs.5,999","Rs.2,999",-50%,,https://www.cougar.com.pk/products/relaxed-fit-chino-pants-ce2513,https://www.cougar.com.pk/cdn/shop/files/2_aecd4276-b8d5-4b97-a509-2f12afb318d9.webp?v=1756489850&width=533,Cougar
men,Straight Fit Chino Pants,"Rs.2,999","Rs.5,999","Rs.2,999",-50%,,https://www.cougar.com.pk/products/straight-fit-chino-pants-ce2514,https://www.cougar.com.pk/cdn/shop/files/2_bb129bad-0bd5-47ca-a1de-dbbda646180e.webp?v=1756489848&width=533,Cougar
men,Slim Fit Chino Pants,"Rs.2,999","Rs.5,999","Rs.2,999",-50%,,https://www.cougar.com.pk/products/slim-fit-chino-pants-ce2515,https://www.cougar.com.pk/cdn/shop/files/2_c561373f-046c-47be-8536-bf1054efd975.webp?v=1756489845&width=533,Cougar
men,Relaxed Fit Jeans,"Rs.2,999","Rs.5,999","Rs.2,999",-50%,,https://www.cougar.com.pk/products/relaxed-fit-jeans-de2514,https://www.cougar.com.pk/cdn/shop/files/2_87801dbb-f0b8-4f6d-a2b3-e923c84ecab2.webp?v=1756489843&width=533,Cougar
men,Skater Fit Jeans,"Rs.2,999","Rs.5,999","Rs.2,999",-50%,,https://www.cougar.com.pk/products/skater-fit-jeans-de2516,https://www.cougar.com.pk/cdn/shop/files/5_a86a7596-6bac-4dfc-ab5f-63c6e16540cb.webp?v=1756489839&width=533,Cougar
men,Straight Fit Cargo Jeans,"Rs.2,999","Rs.5,999","Rs.2,999",-50%,,https://www.cougar.com.pk/products/straight-fit-cargo-jeans-de2517,https://www.cougar.com.pk/cdn/shop/files/2_4b4d1d0a-2cb1-4f5c-9cda-e19dc4aadce9.webp?v=1756489837&width=533,Cougar
men,Skinny Fit Jeans,"Rs.2,999","Rs.5,999","Rs.2,999",-50%,,https://www.cougar.com.pk/products/skinny-fit-jeans-de2519,https://www.cougar.com.pk/cdn/shop/files/2_e11c1cd5-0dab-4e6e-b80b-3e214ff63331.webp?v=1756489833&width=533,Cougar
men,Slim Fit 5 Pocket Pants,"Rs.2,749","Rs.5,499","Rs.2,749",-50%,,https://www.cougar.com.pk/products/slim-fit-5-pocket-pants-fe2502,https://www.cougar.com.pk/cdn/shop/files/4_4d730493-578c-4d44-b66e-fa64ee23d45d.webp?v=1756489823&width=533,Cougar
